"stanox","tiploc"
"00005","AACHEN"
78128,"ABCWM"
"00000","ABDAPEN"
78100,"ABDARE"
"00000","ABDATRE"
"03295","ABDO"
64409,"ABDVY"
78371,"ABER"
40073,"ABGLELE"
"00000","ABGNWYN"
"04309","ABHLJN"
"07947","ABINCE"
"07971","ABINDPL"
"07948","ABINDS"
"07972","ABINGTN"
"07970","ABINUPL"
"00000","ABNGHST"
"00000","ABNGSTR"
76639,"ABRBEG"
78205,"ABRCJN"
78204,"ABRCYNS"
"02080","ABRD27"
"02078","ABRD75"
"02079","ABRD77"
"02075","ABRDCH"
"02071","ABRDEEN"
"02083","ABRDFDS"
"02084","ABRDFGL"
"02082","ABRDFJN"
"02086","ABRDFUS"
"02076","ABRDGBR"
"00000","ABRDNDS"
"02077","ABRDNHS"
"02067","ABRDNS"
"02069","ABRDPDK"
"02074","ABRDRSL"
"00000","ABRDSVC"
"02061","ABRDWAT"
"02062","ABRDWGB"
64506,"ABRE"
"00000","ABRFRWD"
76248,"ABRGPGN"
76250,"ABRGUS"
76251,"ABRGVNY"
79519,"ABRPGWM"
64505,"ABRYAFO"
64609,"ABRYRRL"
64608,"ABRYSHE"
"00000","ABRYSNS"
64607,"ABRYSTH"
78903,"ABTH"
78916,"ABTH222"
78919,"ABTH231"
78904,"ABTHA13"
78900,"ABTHA39"
78902,"ABTHLAF"
78904,"ABTHOSD"
78904,"ABTHPS"
78908,"ABTHPST"
78906,"ABTHRCP"
78905,"ABTHWCC"
67371,"ABTSWDJ"
88601,"ABWD"
37001,"ACBG"
35555,"ACGJN"
35588,"ACGJNLX"
"01081","ACHANLT"
"00752","ACHERES"
"01078","ACHHBLC"
"01078","ACHHSHL"
"08825","ACHILCK"
"01028","ACHLDH"
"04120","ACHNGRY"
"01080","ACHNSCE"
"01079","ACHNSHN"
12115,"ACKLNGT"
48056,"ACLE"
66430,"ACOCKSG"
29061,"ACRNGTN"
72235,"ACTCWHF"
72252,"ACTNCTL"
72209,"ACTNLRG"
72211,"ACTNLRS"
73235,"ACTOEWS"
73248,"ACTOGBR"
73249,"ACTOLHS"
73238,"ACTONFY"
73240,"ACTONML"
73250,"ACTONTC"
73251,"ACTONW"
"01087","ACTRNED"
72251,"ACWLJN"
65614,"ADERLYP"
"04090","ADIEWEL"
89514,"ADISHAM"
32575,"ADLC"
86010,"ADLESTJ"
86011,"ADLESTN"
30321,"ADNL"
32561,"ADSWDRD"
23118,"ADWICK"
23120,"ADWICKJ"
31563,"AGCRFTJ"
36005,"AGHTNPH"
36086,"AIGBURT"
36062,"AINSDAL"
36026,"AINT206"
36027,"AINTREE"
36027,"AINTSFJ"
"07476","AIRBLES"
"07325","AIRD754"
"07326","AIRDCS"
"07327","AIRDRIE"
12401,"AIRP"
"09438","AISGILL"
84060,"AISHXO"
65813,"ALBION"
"00000","ALBNFCL"
"00000","ALBNHV"
88462,"ALBNYPK"
65033,"ALBRGHT"
50430,"ALDB337"
50430,"ALDBUCS"
32581,"ALDEDGE"
87123,"ALDGEST"
"00000","ALDGTLT"
74713,"ALDMCE"
74712,"ALDMSPS"
74714,"ALDMSTN"
87032,"ALDRS15"
87033,"ALDRS16"
87031,"ALDRSHT"
87037,"ALDRSJN"
87013,"ALDRSJS"
87985,"ALDTON"
24503,"ALDW109"
24701,"ALDW721"
24500,"ALDW738"
24501,"ALDWNWS"
24701,"ALDWRKJ"
24405,"ALDWRML"
24502,"ALDWRS"
"07244","PLMD789"
36195,"ALERTNJ"
36191,"ALERTNS"
54103,"ALEXNDP"
54103,"ALEXPSS"
56127,"ALFRETN"
15702,"ALLENSW"
15705,"ALLEURL"
89312,"ALLGARC"
89314,"ALLGREV"
"03375","ALLOA"
"03373","ALLOALP"
"01058","ALNESS"
44505,"ALNGEJN"
44509,"ALNGJN"
44507,"ALNGNJN"
12111,"ALNMILL"
12112,"ALNMOTH"
50027,"ALRESFD"
"00000","ALRSBUS"
87018,"ALRSFRD"
66040,"ALRWAS"
42412,"ALSAEJN"
42412,"ALSAGER"
42413,"ALSAUDG"
64705,"ALSCGF"
64704,"ALSCTSW"
64703,"ALSCUPT"
89515,"ALSHAM"
68077,"ALSTONS"
17196,"ALTFTJN"
50305,"ALTHORN"
"01010","ALTNBRC"
"01011","ALTNCCE"
"00000","ALTOBUS"
87021,"ALTON"
22075,"ALTPE"
22085,"ALTPKC"
37225,"ALTRNHM"
"00000","ALTT"
66527,"ALVCHRC"
"00000","ALVCRLP"
"02004","ALVES"
"06123","ALXANDR"
76472,"ALXN440"
76470,"ALXNJTC"
76469,"ALXNUDG"
"06525","ALXPD"
57110,"AMBERGJ"
57013,"AMBERGT"
57001,"AMBEWIN"
"00780","AMBRIEU"
70362,"AMERMWD"
70361,"AMERSHM"
"00000","AMIENS"
40021,"AMLWCH"
40021,"AMLWOCT"
87957,"AMLY"
79064,"AMMANFD"
68996,"AMNG294"
68997,"AMNG459"
68998,"AMNG462"
68999,"AMNG487"
69002,"AMNG490"
87227,"CLPHMMS"
"00000","AMPFLD"
62200,"AMPTNLS"
"00950","AMSTDAM"
"00937","AMSTSCH"
"06011","ANAT"
44102,"ANCAHON"
44101,"ANCASTR"
86054,"ANDO202"
86073,"ANDOKMR"
86133,"ANDOLSB"
86074,"ANDOVER"
86072,"ANDOYD"
"07253","ANDRSTN"
87644,"ANERLEY"
51924,"ANGELRD"
87998,"ANGMRNG"
"00000","ANGOLEM"
88507,"ANGRFHH"
88505,"ANGRMAR"
88510,"ANGRSTJ"
88501,"ANGRSTW"
88502,"ANGRTAR"
"09032","ANNADRS"
"09033","ANNAN"
"08606","ANNBANK"
30037,"ANSDELL"
"06222","ANSL"
"06222","ANSL3"
"00000","ANSTYXR"
"09426","APBY"
"09427","APBYNE"
89432,"APDR"
17053,"APERLYJ"
23102,"APLHRSJ"
35050,"APLYBDG"
35051,"APLYBGW"
74339,"APPLADV"
74340,"APPLEFD"
74341,"APPLEFS"
74340,"APPLEFX"
74338,"APPLEGB"
74342,"APPLFHH"
71023,"APSLEY"
"00743","ARAS"
"03026","ARBRCVR"
"03023","ARBROTH"
"03024","ARBRURS"
"06107","ARCHAME"
"06101","ARCHRAT"
"06102","ARCHRCE"
49295,"ARDEGH"
"01041","ARDGAY"
"01042","ARDGAYC"
"06060","ARDLUCE"
"06059","ARDLUI"
87964,"ARDNFHH"
87965,"ARDNGLY"
"08200","ARDRSDS"
"08208","ARDRSHB"
"08198","ARDRSSB"
"08204","ARDRSTN"
32009,"ARDWCK"
32009,"ARDWCKJ"
32045,"ARDWICK"
32009,"ARDWKEJ"
32042,"ARDWKEY"
32043,"ARDWTMD"
"07259","ARGYLST"
"06004","ARISAIG"
"06003","ARISCE"
"07149","ARKLSTE"
